stop_id,stop_name,lat,lon
S001,Stop_1,19.018902981858698,72.9283000454447
S002,Stop_2,19.026340324570025,72.79428905836465
S003,Stop_3,19.02286370262054,72.88677806457486
S004,Stop_4,19.01589471150402,72.83868823252256
S005,Stop_5,19.149180866374326,72.94394671315509
S006,Stop_6,19.13792643031995,72.94990697896009
S007,Stop_7,19.155639007621364,72.7742202634213
S008,Stop_8,19.048957803368467,72.84385190462675
S009,Stop_9,19.15295559101414,72.83951119758973
S010,Stop_10,18.998447201445053,72.78506941582356
S011,Stop_11,19.114199954655845,72.91908450433219
S012,Stop_12,19.00492552747906,72.8038641355503
S013,Stop_13,19.153722866482376,72.7847930740117
S014,Stop_14,19.049848117584695,72.78060542388424
S015,Stop_15,19.167413961065126,72.93707927679682
S016,Stop_16,19.061303902922862,72.82019687289007
S017,Stop_17,19.00864056942213,72.86231081395039
S018,Stop_18,19.130292531539666,72.82364087369363
S019,Stop_19,19.14121215002474,72.87880341997308
S020,Stop_20,19.057054395416884,72.91733318145857
S021,Stop_21,18.985061189633175,72.82766009360522
S022,Stop_22,19.075761951096634,72.92143921452706
S023,Stop_23,19.02244987940512,72.88910863187103
S024,Stop_24,19.100550095141152,72.93812695160821
S025,Stop_25,19.141785365155844,72.77599520500013
S026,Stop_26,18.974754634114763,72.92883223085876
S027,Stop_27,19.142276195720374,72.84491432986586
S028,Stop_28,19.14979570989708,72.83852662329457
S029,Stop_29,18.973411603381333,72.84940621085698
S030,Stop_30,18.988952755793708,72.83546349075753
S031,Stop_31,18.989966239167103,72.90790326311362
S032,Stop_32,19.134946634945408,72.96457752242111
S033,Stop_33,19.037586882370487,72.8700687416345
S034,Stop_34,18.97991184365322,72.81270192445734
S035,Stop_35,19.10803144184643,72.95968469194736
S036,Stop_36,19.013638411444855,72.95164647076892
S037,Stop_37,19.09959991204139,72.83315400727265
S038,Stop_38,19.06014179294205,72.92626536153504
S039,Stop_39,18.995762173082944,72.77426651880758
S040,Stop_40,19.03675957604486,72.95461004858619
S041,Stop_41,19.004557315925847,72.83788635866124
S042,Stop_42,18.998300277170642,72.86398823916892
S043,Stop_43,18.977069333138125,72.88390314219399
S044,Stop_44,19.142678208964586,72.8610653231046
S045,Stop_45,19.013334094683625,72.94808687182879
S046,Stop_46,19.14835936301681,72.81598358371372
S047,Stop_47,19.008290866715733,72.89181694005059
S048,Stop_48,19.117699169526848,72.78698741264978
S049,Stop_49,19.032512836222267,72.87254694254216
S050,Stop_50,19.1228606189476,72.90840016841719
S051,Stop_51,19.037915756965013,72.8172628532339
S052,Stop_52,19.055159664507443,72.81149515811845
S053,Stop_53,19.10889622762396,72.95862626837283
S054,Stop_54,19.106031019577337,72.96832963450147
S055,Stop_55,19.120836631235658,72.79292209423511
S056,Stop_56,19.164323836359273,72.78048481805313
S057,Stop_57,19.087986813674547,72.8081599494468
S058,Stop_58,19.089242407416045,72.954632458772
S059,Stop_59,19.122705652274135,72.80745335722003
S060,Stop_60,19.007203007410652,72.81695883603562
