stop_id,stop_name,lat,lon
S001,Stop_1,19.140201406517942,72.90767724729004
S002,Stop_2,19.032922848327473,72.91506589717712
S003,Stop_3,19.033941655735674,72.9120817371551
S004,Stop_4,19.015159417758905,72.7783965813936
S005,Stop_5,19.132857235684355,72.84260554539362
S006,Stop_6,19.164052515894422,72.88831990183822
S007,Stop_7,19.123322924815238,72.90878071758226
S008,Stop_8,19.075011173969738,72.82308367191561
S009,Stop_9,19.122193596713732,72.81641213716058
S010,Stop_10,19.148034221835786,72.91692159914727
S011,Stop_11,19.120746873546178,72.94446218084249
S012,Stop_12,19.130498550281914,72.84428232643364
S013,Stop_13,19.143481802967724,72.83020426934185
S014,Stop_14,18.976590146881286,72.8769691510224
S015,Stop_15,19.098995239427953,72.78637984308912
S016,Stop_16,19.167830778204728,72.79112877996516
S017,Stop_17,19.117907024583705,72.95241765593516
S018,Stop_18,19.00725474228793,72.88127578967463
S019,Stop_19,18.991421577943868,72.82877921719312
S020,Stop_20,19.13537545628022,72.94692852436428
S021,Stop_21,19.132613460484407,72.93099105976214
S022,Stop_22,19.134180698513504,72.83043664623914
S023,Stop_23,19.08207290508684,72.77880340598287
S024,Stop_24,19.086969754221656,72.86047322372708
S025,Stop_25,19.074084783476113,72.8609747703254
S026,Stop_26,19.112863372817266,72.7892885766142
S027,Stop_27,19.046592905588245,72.95806759050204
S028,Stop_28,19.1124796365282,72.81504904857152
S029,Stop_29,19.01403368911127,72.7922431371568
S030,Stop_30,19.13771525924053,72.77050492178894
S031,Stop_31,18.990728508566548,72.77405923588479
S032,Stop_32,19.158221964026833,72.88515829839392
S033,Stop_33,19.03189167898038,72.85725383037446
S034,Stop_34,19.04210785045784,72.80258808165699
S035,Stop_35,19.165425043737226,72.96876069604733
S036,Stop_36,19.049515485878167,72.9128356031699
S037,Stop_37,19.08692846664298,72.86555763815409
S038,Stop_38,19.128991259574157,72.77732060481311
S039,Stop_39,19.084491147145,72.82489868417304
S040,Stop_40,19.100505165920744,72.94689472041848
S041,Stop_41,19.07676157844587,72.88553544974575
S042,Stop_42,19.080308295288972,72.83992198071778
S043,Stop_43,19.110505824669474,72.95064672057153
S044,Stop_44,19.086032089295788,72.80589477197755
S045,Stop_45,19.143825214089084,72.85348114070392
S046,Stop_46,19.124194253518834,72.84318423362126
S047,Stop_47,18.97347616037662,72.8612771270031
S048,Stop_48,18.98361065388349,72.78371878178831
S049,Stop_49,19.14949403697507,72.8816727589397
S050,Stop_50,19.044140703727358,72.80871892266104
S051,Stop_51,19.159166831485464,72.93506396738775
S052,Stop_52,19.08439145414402,72.86183528991931
S053,Stop_53,19.07512190631059,72.93060601953516
S054,Stop_54,18.98917768513415,72.87796555481619
S055,Stop_55,19.15930025617155,72.7752059061506
S056,Stop_56,18.99734840830752,72.89933077183224
S057,Stop_57,18.992963343980996,72.95310830624368
S058,Stop_58,18.985951978627234,72.88811902109077
S059,Stop_59,19.06725341499726,72.89111115311698
S060,Stop_60,19.140591417892402,72.80927056558258
