route_id,stop_id,boarding_count,offboarding_count,trip_datetime
R1_UP,1,14,5,2024-03-30 18:30:00
R1_UP,2,3,2,2024-03-30 18:30:00
R1_UP,3,4,5,2024-03-30 18:30:00
R1_UP,5,3,3,2024-03-30 18:30:00
R1_UP,7,3,5,2024-03-30 18:30:00
R1_UP,9,0,1,2024-03-30 18:30:00
R1_UP,11,3,3,2024-03-30 18:30:00
R1_UP,13,3,0,2024-03-30 18:30:00
R1_UP,15,5,1,2024-03-30 18:30:00
R1_UP,16,5,3,2024-03-30 18:30:00
R1_UP,17,1,3,2024-03-30 18:30:00
R1_UP,18,2,4,2024-03-30 18:30:00
R1_UP,19,3,0,2024-03-30 18:30:00
R1_UP,20,3,61,2024-03-30 18:30:00
R1_UP,1,18,1,2024-03-30 17:00:00
R1_UP,2,3,0,2024-03-30 17:00:00
R1_UP,3,0,2,2024-03-30 17:00:00
R1_UP,5,5,3,2024-03-30 17:00:00
R1_UP,7,5,4,2024-03-30 17:00:00
R1_UP,9,3,4,2024-03-30 17:00:00
R1_UP,11,4,5,2024-03-30 17:00:00
R1_UP,13,4,2,2024-03-30 17:00:00
R1_UP,15,1,0,2024-03-30 17:00:00
R1_UP,16,2,4,2024-03-30 17:00:00
R1_UP,17,4,4,2024-03-30 17:00:00
R1_UP,18,4,1,2024-03-30 17:00:00
R1_UP,19,5,1,2024-03-30 17:00:00
R1_UP,20,2,66,2024-03-30 17:00:00
R1_UP,1,20,1,2024-03-30 09:45:00
R1_UP,2,0,2,2024-03-30 09:45:00
R1_UP,3,3,2,2024-03-30 09:45:00
R1_UP,5,5,3,2024-03-30 09:45:00
R1_UP,7,3,3,2024-03-30 09:45:00
R1_UP,9,4,2,2024-03-30 09:45:00
R1_UP,11,4,5,2024-03-30 09:45:00
R1_UP,13,4,0,2024-03-30 09:45:00
R1_UP,15,0,4,2024-03-30 09:45:00
R1_UP,16,2,2,2024-03-30 09:45:00
R1_UP,17,0,0,2024-03-30 09:45:00
R1_UP,18,1,2,2024-03-30 09:45:00
R1_UP,19,4,3,2024-03-30 09:45:00
R1_UP,20,2,60,2024-03-30 09:45:00
R1_UP,1,16,0,2024-03-30 13:30:00
R1_UP,2,5,2,2024-03-30 13:30:00
R1_UP,3,1,3,2024-03-30 13:30:00
R1_UP,5,4,5,2024-03-30 13:30:00
R1_UP,7,4,1,2024-03-30 13:30:00
R1_UP,9,1,0,2024-03-30 13:30:00
R1_UP,11,3,1,2024-03-30 13:30:00
R1_UP,13,5,5,2024-03-30 13:30:00
R1_UP,15,0,2,2024-03-30 13:30:00
R1_UP,16,0,1,2024-03-30 13:30:00
R1_UP,17,4,5,2024-03-30 13:30:00
R1_UP,18,5,0,2024-03-30 13:30:00
R1_UP,19,1,2,2024-03-30 13:30:00
R1_UP,20,5,33,2024-03-30 13:30:00
R1_UP,1,17,4,2024-03-30 06:00:00
R1_UP,2,1,1,2024-03-30 06:00:00
R1_UP,3,5,0,2024-03-30 06:00:00
R1_UP,5,0,5,2024-03-30 06:00:00
R1_UP,7,5,2,2024-03-30 06:00:00
R1_UP,9,0,2,2024-03-30 06:00:00
R1_UP,11,3,0,2024-03-30 06:00:00
R1_UP,13,3,5,2024-03-30 06:00:00
R1_UP,15,3,0,2024-03-30 06:00:00
R1_UP,16,1,0,2024-03-30 06:00:00
R1_UP,17,0,4,2024-03-30 06:00:00
R1_UP,18,2,0,2024-03-30 06:00:00
R1_UP,19,0,5,2024-03-30 06:00:00
