route_id,from_stop,to_stop,mean_tt,std_tt,p90,count
R001,S001,S049,14.272727272727273,5.193235693640043,23.400000000000013,22
R001,S006,S053,13.409090909090908,5.569124842841243,18.0,22
R001,S012,S052,14.681818181818182,5.882875581569366,22.0,22
R001,S015,S025,16.545454545454547,5.271010319051726,22.900000000000002,22
R001,S016,S012,14.590909090909092,6.130789515762231,22.800000000000004,22
R001,S017,S036,15.045454545454545,5.810313266919459,23.900000000000002,22
R001,S025,S038,16.454545454545453,5.3871741220833975,23.0,22
R001,S032,S001,14.909090909090908,4.363365792477298,20.800000000000004,22
R001,S034,S050,14.318181818181818,5.222536909863996,21.60000000000001,22
R001,S035,S034,15.0,7.496030695673291,25.700000000000006,22
R001,S036,S035,13.818181818181818,5.114278458966051,19.0,22
R001,S038,S017,12.363636363636363,6.381113908920192,19.0,22
R001,S048,S016,13.772727272727273,5.299881563652587,20.0,22
R001,S049,S006,14.863636363636363,5.418622690451132,22.700000000000006,22
R001,S050,S048,15.090909090909092,6.421015280268163,23.800000000000004,22
R001,S053,S015,13.954545454545455,4.380446517001627,18.0,22
R002,S002,S031,13.28,4.420784244150956,18.6,25
R002,S003,S021,10.4,6.000000000000001,19.6,25
R002,S012,S043,13.32,5.513014904145765,21.200000000000003,25
R002,S019,S030,14.0,1.0,14.0,1
R002,S019,S058,10.666666666666666,5.858228450624825,18.0,24
R002,S020,S044,12.04,6.160898202913813,20.0,25
R002,S021,S012,13.16,6.0116553460756545,21.200000000000003,25
R002,S026,S019,13.541666666666666,5.064618674573692,18.7,24
R002,S026,S058,16.0,1.0,16.0,1
R002,S030,S002,12.4,6.18465843842649,19.6,25
R002,S031,S003,12.8,4.881939505292269,19.0,25
R002,S039,S026,11.32,5.573149917237109,17.800000000000004,25
R002,S043,S020,12.32,5.344155686354955,18.6,25
R002,S058,S019,1.0,1.0,1.0,1
R002,S058,S030,13.708333333333334,5.179215709189842,20.099999999999998,24
R003,S001,S002,13.333333333333334,4.87490573061192,18.3,18
R003,S002,S041,20.0,4.242640687119285,25.0,18
R003,S003,S001,15.5,5.792997801605984,23.0,18
R003,S004,S003,15.055555555555555,4.73376137252673,19.3,18
R003,S006,S004,17.5,5.283158591778441,23.900000000000002,18
R003,S016,S036,14.277777777777779,5.311536340895503,22.3,18
R003,S017,S030,14.444444444444445,4.579008654876938,19.500000000000004,18
R003,S023,S039,16.27777777777778,5.015335957963517,21.3,18
R003,S030,S049,14.833333333333334,4.630461798847739,21.3,18
R003,S031,S023,14.833333333333334,6.437482153030658,22.6,18
R003,S036,S040,14.88888888888889,4.431025493957869,20.3,18
R003,S039,S016,15.777777777777779,4.291654768687106,21.0,18
R003,S040,S006,14.777777777777779,5.557777333511022,20.6,18
R003,S041,S043,12.61111111111111,4.031331540189681,17.6,18
R003,S043,S046,15.666666666666666,4.338609156373124,20.3,18
R003,S045,S017,16.333333333333332,4.982321688908165,22.3,18
R003,S046,S054,17.666666666666668,4.445751441809691,23.6,18
R003,S049,S031,16.72222222222222,4.482719179452363,23.0,18
R004,S007,S039,12.333333333333334,5.141671091113802,20.0,30
R004,S015,S040,11.766666666666667,6.806099360554997,22.0,30
R004,S016,S007,14.366666666666667,5.202673936732343,20.1,30
R004,S021,S010,13.266666666666667,5.31707291353204,21.0,30
R004,S024,S053,13.6,5.29541115592971,21.0,30
R004,S036,S050,12.333333333333334,5.47932372704398,20.1,30
R004,S039,S060,13.233333333333333,5.673187593519569,19.0,30
R004,S040,S021,14.7,5.22031839430614,22.1,30
R004,S049,S024,14.2,5.886278608940368,22.1,30
R004,S050,S016,13.733333333333333,5.264934969198105,20.1,30
R004,S052,S036,14.566666666666666,6.184983669219001,20.1,30
R004,S053,S058,13.3,5.318477874030475,21.0,30
R004,S058,S015,14.166666666666666,4.4650623298219925,19.0,30
R004,S060,S049,13.733333333333333,4.813295761944618,19.1,30
R005,S002,S033,14.178571428571429,5.221420066727779,21.6,28
R005,S005,S028,14.285714285714286,5.421883934282012,20.3,28
R005,S009,S002,13.892857142857142,4.893981834974277,20.3,28
R005,S012,S043,12.928571428571429,5.436015503129527,20.3,28
R005,S013,S012,14.0,6.036923425424945,21.0,28
R005,S020,S059,15.035714285714286,5.953412609010204,22.3,28
R005,S021,S060,14.964285714285714,4.654604592803121,19.6,28
R005,S028,S035,12.535714285714286,5.487238682596955,19.0,28
R005,S033,S013,12.178571428571429,5.128378354827629,18.0,28
R005,S035,S009,14.5,4.255715111601235,19.0,28
R005,S043,S056,14.535714285714286,5.853027977716877,21.3,28
R005,S045,S005,12.321428571428571,6.000330678718321,20.6,28
R005,S056,S021,12.035714285714286,4.811114776933241,18.3,28
R005,S059,S045,12.5,4.558264777059114,18.0,28
R006,S003,S014,14.117647058823529,5.33716161621953,18.4,17
R006,S005,S058,16.58823529411765,4.3883200591087785,21.8,17
R006,S009,S011,17.235294117647058,3.7671177935642306,20.0,17
R006,S011,S043,16.647058823529413,3.4630401468685768,20.0,17
R006,S014,S039,15.294117647058824,4.326729507988004,21.8,17
R006,S016,S046,16.941176470588236,4.022912319379055,21.6,17
R006,S018,S016,14.941176470588236,4.2348345338881614,21.0,17
R006,S024,S045,18.352941176470587,5.049024367026123,24.4,17
R006,S033,S052,16.058823529411764,5.448286292900893,23.0,17
R006,S035,S033,16.176470588235293,5.670486025439608,23.8,17
R006,S037,S009,14.117647058823529,5.122040034756372,18.4,17
R006,S039,S035,15.058823529411764,5.225784489376859,20.4,17
R006,S043,S018,12.588235294117647,4.610569698115024,18.8,17
R006,S045,S003,15.176470588235293,3.8606232352699066,18.4,17
R006,S046,S005,15.294117647058824,6.282562234892235,21.8,17
R006,S052,S037,16.88235294117647,4.9985291954381,24.8,17
R006,S058,S015,13.294117647058824,5.871165832719607,22.0,17
R007,S005,S021,1.0,1.0,1.0,1
R007,S005,S029,14.214285714285714,4.7559486560567095,20.6,28
R007,S011,S050,14.379310344827585,5.525355793996102,22.4,29
R007,S013,S057,11.137931034482758,5.70541182895074,17.0,29
R007,S018,S022,13.275862068965518,5.939555970201199,20.0,29
R007,S021,S005,13.107142857142858,5.438813090251201,19.3,28
R007,S021,S029,23.0,1.0,23.0,1
R007,S022,S035,14.931034482758621,5.541602620714637,22.2,29
R007,S029,S055,13.96551724137931,6.14400264265132,22.2,29
R007,S035,S013,14.275862068965518,5.1192671889367265,21.0,29
R007,S037,S038,11.344827586206897,5.965830453920569,18.4,29
R007,S038,S011,13.96551724137931,5.759977421959032,21.2,29
R007,S050,S005,12.0,1.0,12.0,1
R007,S050,S021,13.607142857142858,5.1376553646096825,20.3,28
R007,S055,S018,13.068965517241379,5.424356673394278,20.2,29
R007,S060,S037,13.0,5.5549205986353085,20.4,29
R008,S002,S037,13.533333333333333,5.204330645843361,21.1,30
R008,S007,S009,13.233333333333333,6.066774029617123,22.0,30
R008,S010,S038,12.966666666666667,4.405978174952859,19.0,30
R008,S018,S007,12.2,5.622614436669855,19.200000000000003,30
R008,S022,S010,12.1,6.418453997976299,20.200000000000003,30
R008,S023,S022,12.2,5.108478415745528,19.1,30
R008,S025,S057,13.3,4.691518392544807,18.1,30
R008,S037,S023,12.566666666666666,5.823160259025923,21.0,30
R008,S038,S018,12.833333333333334,6.159284179934824,21.1,30
R008,S041,S002,10.633333333333333,5.423342482100953,16.1,30
R008,S057,S041,12.933333333333334,5.394335044721698,20.1,30
